user_id,product_id,uxp_total_bought,one_shot_ratio_product,times_last5,times_last5_ratio,total_orders,first_order_number,Order_Range_D,Order_Ratio_user_id_X_product_id,reorder_ratio,mean_add_to_cart_order,order_size_avg,order_number,order_dow,order_hour_of_day,days_since_prior_order,reordered
178632,22035.0,2,0.38156301203960963,0.0,0.0,100,6,95,0.021052631578947368,0.7647798109792882,8.06510154836115,9.4,100,4,19,5.0,0.0
174355,2825.0,10,0.509778637438212,3.0,0.6,20,2,19,0.5263157894736842,0.6511994002998501,9.524062968515743,24.9,20,3,16,9.0,1.0
179834,37067.0,3,0.5243556874915666,3.0,0.6,9,5,5,0.6,0.6011946402626056,6.1214550933649035,8.88888888888889,9,0,18,15.0,1.0
197555,28289.0,3,0.5400077810919466,1.0,0.2,15,9,7,0.42857142857142855,0.6184750878234625,9.252882093909257,8.666666666666666,15,1,16,9.0,1.0
29185,48364.0,1,0.5879078904288988,1.0,0.2,8,5,4,0.25,0.5301266601712733,8.492590123583406,16.25,8,4,10,30.0,0.0
99583,9324.0,3,0.769090909090909,0.0,0.0,52,2,51,0.058823529411764705,0.3728620296465222,12.149372862029647,13.538461538461538,52,3,16,6.0,0.0
85248,30021.0,1,0.8145212428662016,0.0,0.0,26,21,6,0.16666666666666666,0.25875440658049353,8.364747356051703,11.923076923076923,26,6,8,3.0,0.0
200701,32093.0,5,0.7426470588235294,3.0,0.6,9,1,9,0.5555555555555556,0.4426229508196721,10.491803278688524,9.333333333333334,9,5,19,18.0,0.0
137514,2180.0,1,0.6924101198402131,1.0,0.2,10,6,5,0.2,0.4066055625790139,10.670037926675095,7.7,10,1,11,30.0,0.0
113913,30233.0,4,0.3619392588464753,3.0,0.6,9,3,7,0.5714285714285714,0.7764211182058869,6.228406790219592,10.555555555555555,9,4,22,19.0,0.0
18796,28199.0,1,0.5222341704092606,1.0,0.2,5,3,3,0.3333333333333333,0.603038292529818,8.82016321406152,7.0,5,0,9,30.0,0.0
74460,32864.0,2,0.5652282054470837,1.0,0.2,6,1,6,0.3333333333333333,0.5905596007943378,9.49040175161668,15.5,6,1,8,4.0,0.0
43126,424.0,6,0.7310877967973495,0.0,0.0,41,1,41,0.14634146341463414,0.3409752547307133,10.152474526928675,13.195121951219512,41,2,2,20.0,0.0
88497,7567.0,2,0.6172839506172839,0.0,0.0,15,2,14,0.14285714285714285,0.49453978159126366,10.29641185647426,14.933333333333334,15,6,19,28.0,0.0
103590,14141.0,1,0.6639344262295082,0.0,0.0,9,1,9,0.1111111111111111,0.4863157894736842,10.526315789473685,17.0,9,6,21,30.0,0.0
142494,46790.0,1,0.7706422018348624,0.0,0.0,9,4,6,0.16666666666666666,0.41397849462365593,7.78494623655914,17.666666666666668,9,2,18,30.0,0.0
85445,11461.0,1,0.63877430760165,0.0,0.0,26,8,19,0.05263157894736842,0.4838022813688213,9.421596958174906,8.615384615384615,26,1,9,24.0,0.0
167016,46505.0,1,0.7366749029297565,1.0,0.2,6,4,3,0.3333333333333333,0.3567211625794732,10.185286103542234,5.333333333333333,6,3,11,30.0,0.0
80818,44310.0,1,0.4935972060535506,0.0,0.0,35,26,10,0.1,0.7139050791007494,8.611823480432973,16.771428571428572,35,6,8,11.0,0.0
13975,37355.0,1,0.7106710671067107,0.0,0.0,12,2,11,0.09090909090909091,0.369625520110957,8.409847434119278,9.166666666666666,12,0,11,30.0,0.0
118067,24125.0,1,0.4966887417218543,0.0,0.0,57,6,52,0.019230769230769232,0.6890871654083733,7.5006863417982155,8.491228070175438,57,4,14,5.0,0.0
6920,18465.0,1,0.43027643703378676,1.0,0.2,8,4,5,0.2,0.7154451242352353,6.681308527906106,5.125,8,1,11,13.0,0.0
94854,24489.0,1,0.5510029876227059,1.0,0.2,30,27,4,0.25,0.6274447447924948,8.93264429957068,17.366666666666667,30,2,14,11.0,0.0
176947,19828.0,7,0.48773006134969327,1.0,0.2,19,1,19,0.3684210526315789,0.6943272386310361,4.225503984997656,6.7368421052631575,19,1,11,27.0,0.0
