Store_ID,Store_Type,Store_Size,Sound_Consultant_Count,Years_Operation,Monthly_Revenue,Daily_Visitor_Count,Customer_Experience_Score,Avg_Transaction_Value,Return_Rate,Revenue_per_SqFt,Visitors_per_SqFt,Revenue_per_Consultant,Visitors_per_Consultant,Consultant_Density,Conversion_Rate,Overall_Score,Monthly_Revenue_std,Customer_Experience_Score_std,Daily_Visitor_Count_std,Avg_Transaction_Value_std,Return_Rate_std,Monthly_Revenue_format_std,Customer_Experience_Score_format_std,Daily_Visitor_Count_format_std,Avg_Transaction_Value_format_std,Return_Rate_format_std
QT001,Urban Flagship,6397.0,8.0,12.0,2497934.4000000004,204.0,8.21,1614.48,3.52,390.48528997967804,0.03188994841331874,312241.80000000005,25.5,1.2505862122870095,0.25281156513940994,0.8999999999999999,3.6440136399475267,0.5920866995766392,1.780757138578256,1.3454286567968534,-0.41938581182682977,2.5567330215286264,1.0118456074291173,0.0675813577923673,-0.3866468988996285,-1.3390504754233896
QT002,Urban Flagship,5889.0,7.0,9.0,1697537.4,207.0,7.96,1597.29,4.59,288.2556291390728,0.035150280183392765,242505.34285714285,29.571428571428573,1.1886568177958907,0.17113702517213408,0.44716981132075473,1.7245755898723985,0.11328604230532738,1.8451649003089745,1.2597340677575315,0.10479487868592814,-0.12364049453510723,0.07146864885187096,0.23653475227328716,-0.5822748662899052,0.17392102267906645
QT003,Urban Flagship,5813.0,7.0,12.0,1532802.7,192.0,8.14,1788.28,4.92,263.68530879064167,0.0330294168243592,218971.81428571427,27.428571428571427,1.2041974883880955,0.1488086764159478,0.39622641509433965,1.3295240700044944,0.4580225155406718,1.5231260916553817,2.2118463167755684,0.2664580823020124,-0.6753048898997874,0.7485400590274882,-0.6082322201313122,1.5912554124691896,0.6405384005985157
QT004,Urban Flagship,5813.0,7.0,9.0,1715706.2,205.0,8.23,1655.07,3.52,295.1498709788405,0.035265783588508515,245100.88571428572,29.285714285714285,1.2041974883880955,0.16855880288216138,0.7047169811320755,1.7681463254501244,0.6303907521583432,1.8022263924884954,1.5477755659944137,-0.41938581182682977,-0.06279672533225057,1.0870757641152953,0.12389915595267392,0.0752809193884048,-1.3390504754233896
QT005,Urban Flagship,7263.0,9.0,10.0,1832495.6,236.0,7.65,1741.86,4.19,252.30560374500897,0.03249346000275368,203610.62222222224,26.22222222222222,1.2391573729863692,0.14859234504890903,0.24245283018867925,2.0482198617145584,-0.4804267727110964,2.4677732637059204,1.9804360303761896,-0.09116051963659794,0.3283082072411774,-1.094598779783909,1.8697508989221792,1.062980238166884,-0.3916757990414772
QT006,Urban Flagship,6614.0,8.0,9.0,1827293.0,221.0,8.24,1627.18,4.02,276.27653462352583,0.033413970365890534,228411.625,27.625,1.2095554883580284,0.16937880500102545,0.6,2.0357434676259736,0.6495427784491952,2.145734455052328,1.4087399587630773,-0.17444156392367202,0.3108857140850643,1.1246908424583841,1.0249839265175797,-0.24211663794229774,-0.6320544482727097
QT007,Urban Flagship,5535.0,7.0,9.0,1570082.8,204.0,7.83,1519.81,5.76,283.6644625112918,0.03685636856368564,224297.54285714286,29.142857142857142,1.2646793134598011,0.1688036511959936,0.34056603773584904,1.4189257574803418,-0.13569029947575367,1.780757138578256,0.8734852743446957,0.6779644187793177,-0.5504611027339088,-0.41752736960829506,0.0675813577923673,-1.4640232614847044,1.8282917262116587
QT008,Urban Flagship,5580.0,7.0,5.0,1611538.5,203.0,7.8,1746.77,4.24,288.80618279569893,0.03637992831541219,230219.7857142857,29.0,1.2544802867383513,0.15149129155512958,0.39811320754716983,1.5183409826404803,-0.1931463783483114,1.7592878846680164,2.0049130770418717,-0.06666609484628223,-0.41163404519885666,-0.5303726046375652,0.011263559632060684,1.1188576855133803,-0.3209761963264094
QT009,Urban Flagship,6194.0,8.0,13.0,1657973.2,182.0,7.46,1544.86,5.03,267.67407168227317,0.0293832741362609,207246.65,22.75,1.2915724895059735,0.19656026775118474,0.2641509433962264,1.629696385051813,-0.8443152722372929,1.3084335525529864,0.9983630786166564,0.32034581684070734,-0.2561332873169999,-1.8092852683026153,-1.1714102017343784,-1.1789458569980023,0.7960775265716659
QT010,Urban Flagship,4469.0,6.0,5.0,1401218.0,174.0,7.89,1648.95,4.88,313.5417319310808,0.03893488476169165,233536.33333333334,29.0,1.3425822331617812,0.1627899979076433,0.4226415094339623,1.0139698138194755,-0.02077814173064,1.1366795212710703,1.5172664976453363,0.24686254246975978,-1.115956397837962,-0.1918368995497582,-1.6219525870168312,0.0056332660766846895,0.5839787184264612
QT011,Urban Standard,2780.0,4.0,6.0,885009.0,121.0,8.08,1326.7,18.5,318.34856115107914,0.04352517985611511,221252.25,30.25,1.4388489208633093,0.18376734169850378,0.5716981132075472,-0.22395486154941158,0.34311035779555643,-0.0011909359716243302,-0.08919547547400157,6.9191438553517814,-0.6919807224162204,0.36612150213125694,-0.1235938625551288,-0.37579866075870383,4.2980958484458585
QT012,Urban Standard,4302.0,4.0,6.0,1088259.0,153.0,7.85,1419.53,4.61,252.96582984658298,0.03556485355648536,272064.75,38.25,0.9298000929800093,0.16702251030431733,0.27547169811320754,0.26346048818049683,-0.09738624689404969,0.6858251891560403,0.3735752459058837,0.11459264860205469,1.0864425714311607,-0.7023781083182794,1.4167450773010761,0.3954170029212296,-0.04793531840612832
QT013,Urban Standard,3648.0,4.0,9.0,1079514.0,125.0,7.88,1344.41,4.42,295.9194078947368,0.034265350877192985,269878.5,31.25,1.0964912280701753,0.21412396515943796,0.5415094339622641,0.24248903807772662,-0.039930168021492,0.08468607966933375,-0.0009086126533854842,0.021513834398854487,1.009924432662672,-0.5630085939118172,0.06894850492689682,-0.22866702870256184,-0.1073842688526279
