CustomerID,InvoiceDate,InvoiceAmount
101,2025-10-01,120.0
101,2025-11-01,80.0
101,2025-08-20,50.0
102,2025-09-25,300.0
102,2025-10-10,200.0
103,2025-10-15,450.0
104,2025-07-12,60.0
105,2025-11-05,700.0
106,2025-09-28,250.0
107,2025-09-01,180.0
108,2025-10-10,100.0
109,2025-10-15,200.0
110,2025-07-12,450.0
111,2025-11-05,60.0
112,2025-09-28,700.0
113,2025-09-28,250.0
114,2025-08-20,290.0
115,2025-07-25,300.0
116,2025-07-12,23.0
117,2025-08-20,11.0
118,2025-11-02,300.0
119,2025-10-10,200.0
120,2025-09-03,450.0
121,2025-10-11,60.0
